Created as New Dataset,
nm,A
1500,0.0441
1495,0.044
1490,0.0442
1485,0.0441
1480,0.0442
1475,0.0442
1470,0.0443
1465,0.0442
1460,0.0442
1455,0.0442
1450,0.0442
1445,0.0444
1440,0.0443
1435,0.0444
1430,0.0446
1425,0.0447
1420,0.0447
1415,0.0448
1410,0.0447
1405,0.0447
1400,0.0446
1395,0.0446
1390,0.0446
1385,0.0445
1380,0.0445
1375,0.0446
1370,0.0447
1365,0.0447
1360,0.0446
1355,0.0445
1350,0.0445
1345,0.0446
1340,0.0447
1335,0.0447
1330,0.0449
1325,0.0448
1320,0.0449
1315,0.0452
1310,0.0448
1305,0.0447
1300,0.0448
1295,0.0449
1290,0.0448
1285,0.045
1280,0.0456
1275,0.0449
1270,0.0449
1265,0.045
1260,0.0455
1255,0.045
1250,0.045
1245,0.0452
1240,0.0458
1235,0.0451
1230,0.0452
1225,0.0451
1220,0.0452
1215,0.0453
1210,0.0453
1205,0.0452
1200,0.0453
1195,0.0453
1190,0.0454
1185,0.0454
1180,0.0455
1175,0.0455
1170,0.0453
1165,0.0453
1160,0.0453
1155,0.0454
1150,0.0454
1145,0.0454
1140,0.0455
1135,0.0455
1130,0.0455
1125,0.0456
1120,0.0455
1115,0.0455
1110,0.0456
1105,0.0456
1100,0.0456
1095,0.0456
1090,0.0456
1085,0.0457
1080,0.0457
1075,0.0457
1070,0.0457
1065,0.0457
1060,0.0457
1055,0.0458
1050,0.0458
1045,0.0458
1040,0.0458
1035,0.0459
1030,0.0459
1025,0.046
1020,0.046
1015,0.046
1010,0.046
1005,0.046
1000,0.0461
995,0.0461
990,0.0462
985,0.0462
980,0.0462
975,0.0461
970,0.0462
965,0.0462
960,0.0463
955,0.0463
950,0.0464
945,0.0464
940,0.0464
935,0.0464
930,0.0464
925,0.0465
920,0.0465
915,0.0466
910,0.0466
905,0.0467
900,0.0467
895,0.0467
890,0.0467
885,0.0468
880,0.0469
875,0.047
870,0.047
865,0.047
860,0.0459
855,0.0457
850,0.0458
845,0.0459
840,0.0463
835,0.0465
830,0.0468
825,0.0463
820,0.0467
815,0.0466
810,0.0466
805,0.0467
800,0.0471
795,0.047
790,0.0471
785,0.0471
780,0.0473
775,0.0473
770,0.0475
765,0.0478
760,0.048
755,0.0483
750,0.0486
745,0.0486
740,0.049
735,0.0493
730,0.0497
725,0.0499
720,0.0504
715,0.0511
710,0.0519
705,0.0529
700,0.0538
695,0.0551
690,0.0568
685,0.0586
680,0.0608
675,0.0634
670,0.0662
665,0.0691
660,0.0724
655,0.0754
650,0.0785
645,0.0814
640,0.0841
635,0.0868
630,0.0891
625,0.0909
620,0.0926
615,0.0945
610,0.0963
605,0.0978
600,0.099
595,0.1002
590,0.1012
585,0.1019
580,0.1024
575,0.1024
570,0.1023
565,0.102
560,0.1013
555,0.1004
550,0.0997
545,0.0986
540,0.0972
535,0.0961
530,0.0948
525,0.0934
520,0.092
515,0.0908
510,0.0894
505,0.0883
500,0.087
495,0.0859
490,0.0846
485,0.0833
480,0.0821
475,0.0811
470,0.0802
465,0.0792
460,0.0784
455,0.0779
450,0.0773
445,0.0767
440,0.0764
435,0.0759
430,0.0753
425,0.0751
420,0.0749
415,0.0748
410,0.0748
405,0.0754
400,0.0764
395,0.0785
390,0.0823
385,0.0884
380,0.0955
375,0.0982
370,0.1009
365,0.1033
360,0.106
355,0.1088
350,0.1114
345,0.1136
340,0.1171
335,0.1221
330,0.1297
325,0.1412
320,0.1587
315,0.1832
310,0.2206
305,0.2728
300,0.3459
