Created as New Dataset,
nm,A
1500,0.1202
1495,0.1204
1490,0.1206
1485,0.1209
1480,0.1211
1475,0.1213
1470,0.1214
1465,0.1215
1460,0.1217
1455,0.1219
1450,0.122
1445,0.1222
1440,0.1223
1435,0.1226
1430,0.1229
1425,0.1231
1420,0.1232
1415,0.1233
1410,0.1234
1405,0.1235
1400,0.1236
1395,0.1238
1390,0.124
1385,0.1238
1380,0.1241
1375,0.1245
1370,0.1245
1365,0.1245
1360,0.1247
1355,0.1249
1350,0.1252
1345,0.1256
1340,0.1258
1335,0.126
1330,0.126
1325,0.1261
1320,0.1264
1315,0.1272
1310,0.1273
1305,0.1276
1300,0.1279
1295,0.1281
1290,0.1283
1285,0.1286
1280,0.1289
1275,0.1292
1270,0.1293
1265,0.1295
1260,0.1297
1255,0.1299
1250,0.1302
1245,0.1304
1240,0.1307
1235,0.1305
1230,0.1304
1225,0.1304
1220,0.1304
1215,0.1307
1210,0.1309
1205,0.1312
1200,0.1313
1195,0.1315
1190,0.1318
1185,0.132
1180,0.1322
1175,0.1325
1170,0.1327
1165,0.1329
1160,0.1331
1155,0.1334
1150,0.1336
1145,0.1338
1140,0.1341
1135,0.1344
1130,0.1346
1125,0.1349
1120,0.1351
1115,0.1354
1110,0.1358
1105,0.1361
1100,0.1365
1095,0.1368
1090,0.1371
1085,0.1374
1080,0.1379
1075,0.1383
1070,0.1386
1065,0.1391
1060,0.1396
1055,0.1401
1050,0.1406
1045,0.1411
1040,0.1417
1035,0.1422
1030,0.1428
1025,0.1434
1020,0.1439
1015,0.1445
1010,0.145
1005,0.1455
1000,0.1461
995,0.1466
990,0.1472
985,0.1476
980,0.1481
975,0.1485
970,0.1489
965,0.1493
960,0.1498
955,0.1501
950,0.1504
945,0.1507
940,0.1511
935,0.1514
930,0.1517
925,0.1521
920,0.1524
915,0.1527
910,0.153
905,0.1534
900,0.1535
895,0.1536
890,0.1539
885,0.1542
880,0.1546
875,0.155
870,0.1553
865,0.1555
860,0.178
855,0.1792
850,0.1792
845,0.1798
840,0.1801
835,0.1803
830,0.1807
825,0.1804
820,0.1811
815,0.1813
810,0.1816
805,0.1822
800,0.1825
795,0.183
790,0.1835
785,0.1836
780,0.1843
775,0.1847
770,0.1851
765,0.1858
760,0.1862
755,0.1868
750,0.1873
745,0.188
740,0.1888
735,0.1895
730,0.1908
725,0.1922
720,0.1939
715,0.1962
710,0.1991
705,0.2028
700,0.2075
695,0.2132
690,0.2207
685,0.2295
680,0.2401
675,0.2523
670,0.266
665,0.2806
660,0.296
655,0.3113
650,0.3267
645,0.3415
640,0.3558
635,0.3695
630,0.3834
625,0.3972
620,0.4121
615,0.4275
610,0.4439
605,0.4602
600,0.4761
595,0.4913
590,0.5058
585,0.519
580,0.5314
575,0.5425
570,0.5531
565,0.5629
560,0.5727
555,0.5797
550,0.5856
545,0.5896
540,0.5923
535,0.5934
530,0.5935
525,0.5926
520,0.5901
515,0.586
510,0.58
505,0.573
500,0.5657
495,0.5591
490,0.552
485,0.5438
480,0.5351
475,0.5239
470,0.5127
465,0.5011
460,0.4897
455,0.479
450,0.4682
445,0.4573
440,0.4464
435,0.4352
430,0.4242
425,0.4141
420,0.4042
415,0.3952
410,0.3875
405,0.3816
400,0.3789
395,0.3821
390,0.3947
385,0.419
380,0.4475
375,0.4559
370,0.4606
365,0.4626
360,0.4672
355,0.4712
350,0.469
345,0.4637
340,0.4584
335,0.4552
330,0.4538
325,0.4569
320,0.4662
315,0.4718
310,0.5057
305,0.5578
300,0.6346
