Created as New Dataset,
nm,A
1500.0,0.0448
1495.0,0.0448
1490.0,0.0451
1485.0,0.0450
1480.0,0.0450
1475.0,0.0452
1470.0,0.0452
1465.0,0.0453
1460.0,0.0452
1455.0,0.0453
1450.0,0.0454
1445.0,0.0455
1440.0,0.0454
1435.0,0.0457
1430.0,0.0457
1425.0,0.0459
1420.0,0.0460
1415.0,0.0460
1410.0,0.0460
1405.0,0.0461
1400.0,0.0462
1395.0,0.0462
1390.0,0.0462
1385.0,0.0461
1380.0,0.0462
1375.0,0.0463
1370.0,0.0464
1365.0,0.0465
1360.0,0.0464
1355.0,0.0464
1350.0,0.0464
1345.0,0.0466
1340.0,0.0467
1335.0,0.0468
1330.0,0.0469
1325.0,0.0469
1320.0,0.0470
1315.0,0.0471
1310.0,0.0472
1305.0,0.0473
1300.0,0.0474
1295.0,0.0475
1290.0,0.0475
1285.0,0.0478
1280.0,0.0483
1275.0,0.0477
1270.0,0.0478
1265.0,0.0478
1260.0,0.0478
1255.0,0.0482
1250.0,0.0490
1245.0,0.0491
1240.0,0.0490
1235.0,0.0483
1230.0,0.0484
1225.0,0.0484
1220.0,0.0485
1215.0,0.0486
1210.0,0.0488
1205.0,0.0488
1200.0,0.0488
1195.0,0.0489
1190.0,0.0489
1185.0,0.0491
1180.0,0.0492
1175.0,0.0494
1170.0,0.0493
1165.0,0.0494
1160.0,0.0495
1155.0,0.0496
1150.0,0.0497
1145.0,0.0499
1140.0,0.0500
1135.0,0.0501
1130.0,0.0502
1125.0,0.0502
1120.0,0.0504
1115.0,0.0505
1110.0,0.0506
1105.0,0.0508
1100.0,0.0509
1095.0,0.0510
1090.0,0.0511
1085.0,0.0513
1080.0,0.0515
1075.0,0.0516
1070.0,0.0516
1065.0,0.0517
1060.0,0.0519
1055.0,0.0520
1050.0,0.0521
1045.0,0.0523
1040.0,0.0525
1035.0,0.0526
1030.0,0.0528
1025.0,0.0530
1020.0,0.0532
1015.0,0.0533
1010.0,0.0534
1005.0,0.0536
1000.0,0.0538
995.0,0.0540
990.0,0.0541
985.0,0.0542
980.0,0.0545
975.0,0.0547
970.0,0.0548
965.0,0.0549
960.0,0.0551
955.0,0.0553
950.0,0.0555
945.0,0.0557
940.0,0.0559
935.0,0.0561
930.0,0.0563
925.0,0.0566
920.0,0.0568
915.0,0.0570
910.0,0.0572
905.0,0.0574
900.0,0.0575
895.0,0.0576
890.0,0.0579
885.0,0.0582
880.0,0.0586
875.0,0.0589
870.0,0.0591
865.0,0.0594
860.0,0.0604
855.0,0.0605
850.0,0.0613
845.0,0.0618
840.0,0.0620
835.0,0.0624
830.0,0.0631
825.0,0.0630
820.0,0.0637
815.0,0.0640
810.0,0.0644
805.0,0.0650
800.0,0.0656
795.0,0.0660
790.0,0.0665
785.0,0.0669
780.0,0.0677
775.0,0.0680
770.0,0.0686
765.0,0.0693
760.0,0.0701
755.0,0.0708
750.0,0.0716
745.0,0.0723
740.0,0.0732
735.0,0.0741
730.0,0.0750
725.0,0.0761
720.0,0.0772
715.0,0.0783
710.0,0.0796
705.0,0.0808
700.0,0.0822
695.0,0.0837
690.0,0.0855
685.0,0.0874
680.0,0.0894
675.0,0.0921
670.0,0.0950
665.0,0.0985
660.0,0.1030
655.0,0.1080
650.0,0.1149
645.0,0.1239
640.0,0.1357
635.0,0.1503
630.0,0.1685
625.0,0.1892
620.0,0.2120
615.0,0.2348
610.0,0.2562
605.0,0.2737
600.0,0.2876
595.0,0.2988
590.0,0.3090
585.0,0.3200
580.0,0.3334
575.0,0.3487
570.0,0.3662
565.0,0.3835
560.0,0.4000
555.0,0.4120
550.0,0.4204
545.0,0.4255
540.0,0.4288
535.0,0.4314
530.0,0.4339
525.0,0.4355
520.0,0.4356
515.0,0.4338
510.0,0.4287
505.0,0.4215
500.0,0.4125
495.0,0.4025
490.0,0.3913
485.0,0.3793
480.0,0.3665
475.0,0.3527
470.0,0.3378
465.0,0.3228
460.0,0.3070
455.0,0.2919
450.0,0.2771
445.0,0.2629
440.0,0.2494
435.0,0.2367
430.0,0.2246
425.0,0.2138
420.0,0.2037
415.0,0.1942
410.0,0.1855
405.0,0.1777
400.0,0.1703
395.0,0.1639
390.0,0.1579
385.0,0.1526
380.0,0.1478
375.0,0.1393
370.0,0.1353
365.0,0.1321
360.0,0.1298
355.0,0.1283
350.0,0.1276
345.0,0.1281
340.0,0.1306
335.0,0.1350
330.0,0.1427
325.0,0.1549
320.0,0.1735
315.0,0.1976
310.0,0.2374
305.0,0.2928
300.0,0.3703
