	XPS_UPS_18Jan2022/Au/Au/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
9.22	114709	22508.82283
9.2	114919	22509.20735
9.18	114591	22509.59185
9.16	114968	22509.97633
9.14	114500	22510.3608
9.12	114075	22510.74525
9.1	114258	22511.12969
9.08	114355	22511.51411
9.06	114206	22511.89852
9.04	114288	22512.28291
9.02	113834	22512.66729
9	113750	22513.05166
8.98	113784	22513.436
8.96	113757	22513.82034
8.94	113823	22514.20465
8.92	113008	22514.58896
8.9	113134	22514.97325
8.88	113076	22515.35752
8.86	112771	22515.74178
8.84	113071	22516.12602
8.82	113114	22516.51025
8.8	112633	22516.89446
8.78	112050	22517.27866
8.76	111809	22517.66284
8.74	111787	22518.04701
8.72	111690	22518.43116
8.7	111563	22518.8153
8.68	111264	22519.19942
8.66	111008	22519.58353
8.64	110684	22519.96762
8.62	110552	22520.3517
8.6	110426	22520.73576
8.58	110595	22521.11981
8.56	110170	22521.50384
8.54	109868	22521.88786
8.52	109964	22522.27186
8.5	109612	22522.65585
8.48	109590	22523.03982
8.46	109136	22523.42378
8.44	108775	22523.80772
8.42	108535	22524.19165
8.4	108548	22524.57556
8.38	108053	22524.95945
8.36	108500	22525.34334
8.34	108007	22525.7272
8.32	107339	22526.11105
8.3	107228	22526.49489
8.28	107793	22526.87871
8.26	107584	22527.26252
8.24	107543	22527.64631
8.22	107121	22528.03009
8.2	106613	22528.41385
8.18	107320	22528.79759
8.16	106968	22529.18132
8.14	106636	22529.56504
8.12	106754	22529.94874
8.1	107170	22530.33243
8.08	107199	22530.7161
8.06	106973	22531.09975
8.04	106431	22531.48339
8.02	106609	22531.86702
8	107102	22532.25063
7.98	107175	22532.63423
7.96	106902	22533.01781
7.94	106968	22533.40137
7.92	106987	22533.78492
7.9	107319	22534.16846
7.88	107394	22534.55198
7.86	107566	22534.93548
7.84	107700	22535.31897
7.82	108083	22535.70244
7.8	108049	22536.0859
7.78	108014	22536.46935
7.76	108730	22536.85278
7.74	108966	22537.23619
7.72	109066	22537.61959
7.7	109273	22538.00297
7.68	109295	22538.38634
7.66	109577	22538.7697
7.64	110072	22539.15304
7.62	110776	22539.53636
7.6	110990	22539.91967
7.58	111182	22540.30296
7.56	111609	22540.68624
7.54	111709	22541.0695
7.52	111898	22541.45275
7.5	112114	22541.83598
7.48	113281	22542.2192
7.46	113763	22542.6024
7.44	113907	22542.98559
7.42	114178	22543.36876
7.4	114919	22543.75192
7.38	115564	22544.13506
7.36	115590	22544.51819
7.34	116051	22544.9013
7.32	116376	22545.2844
7.3	116718	22545.66748
