	XPS_UPS_18Jan2022/Au/Au/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
19.22	216.6666667	22314.71119
19.21	273.3333333	22314.90712
19.2	370	22315.10305
19.19	296.6666667	22315.29898
19.18	263.3333333	22315.4949
19.17	226.6666667	22315.69083
19.16	253.3333333	22315.88674
19.15	270	22316.08266
19.14	250	22316.27857
19.13	230	22316.47447
19.12	276.6666667	22316.67038
19.11	310	22316.86628
19.1	260	22317.06217
19.09	263.3333333	22317.25806
19.08	276.6666667	22317.45395
19.07	233.3333333	22317.64984
19.06	206.6666667	22317.84572
19.05	240	22318.0416
19.04	323.3333333	22318.23747
19.03	256.6666667	22318.43334
19.02	243.3333333	22318.62921
19.01	266.6666667	22318.82507
19	320	22319.02093
18.99	290	22319.21679
18.98	213.3333333	22319.41264
18.97	253.3333333	22319.60849
18.96	270	22319.80433
18.95	253.3333333	22320.00017
18.94	263.3333333	22320.19601
18.93	290	22320.39185
18.92	230	22320.58768
18.91	256.6666667	22320.78351
18.9	253.3333333	22320.97933
18.89	223.3333333	22321.17515
18.88	230	22321.37097
18.87	220	22321.56678
18.86	306.6666667	22321.76259
18.85	313.3333333	22321.95839
18.84	266.6666667	22322.15419
18.83	280	22322.34999
18.82	306.6666667	22322.54579
18.81	280	22322.74158
18.8	220	22322.93737
18.79	246.6666667	22323.13315
18.78	283.3333333	22323.32893
18.77	273.3333333	22323.52471
18.76	230	22323.72048
18.75	220	22323.91625
18.74	220	22324.11202
18.73	336.6666667	22324.30778
18.72	243.3333333	22324.50354
18.71	276.6666667	22324.69929
18.7	240	22324.89504
18.69	283.3333333	22325.09079
18.68	290	22325.28654
18.67	213.3333333	22325.48228
18.66	253.3333333	22325.67801
18.65	230	22325.87375
18.64	270	22326.06948
18.63	253.3333333	22326.2652
18.62	296.6666667	22326.46093
18.61	233.3333333	22326.65665
18.6	270	22326.85236
18.59	240	22327.04807
18.58	230	22327.24378
18.57	290	22327.43949
18.56	306.6666667	22327.63519
18.55	250	22327.83088
18.54	296.6666667	22328.02658
18.53	253.3333333	22328.22227
18.52	243.3333333	22328.41796
18.51	256.6666667	22328.61364
18.5	273.3333333	22328.80932
18.49	276.6666667	22329.00499
18.48	260	22329.20067
18.47	256.6666667	22329.39633
18.46	240	22329.592
18.45	266.6666667	22329.78766
18.44	346.6666667	22329.98332
18.43	286.6666667	22330.17897
18.42	306.6666667	22330.37462
18.41	226.6666667	22330.57027
18.4	266.6666667	22330.76591
18.39	296.6666667	22330.96155
18.38	240	22331.15719
18.37	273.3333333	22331.35282
18.36	280	22331.54845
18.35	306.6666667	22331.74407
18.34	256.6666667	22331.9397
18.33	240	22332.13531
18.32	233.3333333	22332.33093
18.31	346.6666667	22332.52654
18.3	270	22332.72215
18.29	276.6666667	22332.91775
18.28	263.3333333	22333.11335
18.27	286.6666667	22333.30895
18.26	230	22333.50454
18.25	303.3333333	22333.70013
18.24	270	22333.89571
18.23	216.6666667	22334.0913
18.22	273.3333333	22334.28687
18.21	260	22334.48245
18.2	273.3333333	22334.67802
18.19	250	22334.87359
18.18	296.6666667	22335.06915
18.17	276.6666667	22335.26471
18.16	283.3333333	22335.46027
18.15	253.3333333	22335.65582
18.14	266.6666667	22335.85137
18.13	260	22336.04691
18.12	273.3333333	22336.24246
18.11	293.3333333	22336.438
18.1	260	22336.63353
18.09	270	22336.82906
18.08	263.3333333	22337.02459
18.07	300	22337.22011
18.06	236.6666667	22337.41563
18.05	313.3333333	22337.61115
18.04	250	22337.80666
18.03	216.6666667	22338.00217
18.02	200	22338.19768
18.01	260	22338.39318
18	293.3333333	22338.58868
17.99	306.6666667	22338.78417
17.98	283.3333333	22338.97967
17.97	343.3333333	22339.17515
17.96	340	22339.37064
17.95	270	22339.56612
17.94	283.3333333	22339.7616
17.93	276.6666667	22339.95707
17.92	343.3333333	22340.15254
17.91	310	22340.348
17.9	273.3333333	22340.54347
17.89	296.6666667	22340.73893
17.88	330	22340.93438
17.87	236.6666667	22341.12983
17.86	256.6666667	22341.32528
17.85	293.3333333	22341.52073
17.84	283.3333333	22341.71617
17.83	313.3333333	22341.9116
17.82	273.3333333	22342.10704
17.81	263.3333333	22342.30247
17.8	313.3333333	22342.49789
17.79	320	22342.69332
17.78	280	22342.88873
17.77	273.3333333	22343.08415
17.76	330	22343.27956
17.75	290	22343.47497
17.74	330	22343.67037
17.73	283.3333333	22343.86578
17.72	226.6666667	22344.06117
17.71	283.3333333	22344.25657
17.7	263.3333333	22344.45196
17.69	263.3333333	22344.64734
17.68	306.6666667	22344.84273
17.67	250	22345.0381
17.66	286.6666667	22345.23348
17.65	306.6666667	22345.42885
17.64	333.3333333	22345.62422
17.63	316.6666667	22345.81959
17.62	320	22346.01495
17.61	290	22346.2103
17.6	346.6666667	22346.40566
17.59	376.6666667	22346.60101
17.58	306.6666667	22346.79635
17.57	263.3333333	22346.9917
17.56	290	22347.18704
17.55	330	22347.38237
17.54	306.6666667	22347.5777
17.53	290	22347.77303
17.52	313.3333333	22347.96836
17.51	356.6666667	22348.16368
17.5	276.6666667	22348.359
17.49	300	22348.55431
17.48	313.3333333	22348.74962
17.47	386.6666667	22348.94493
17.46	313.3333333	22349.14023
17.45	356.6666667	22349.33553
17.44	300	22349.53083
17.43	310	22349.72612
17.42	296.6666667	22349.92141
17.41	396.6666667	22350.11669
17.4	353.3333333	22350.31197
17.39	356.6666667	22350.50725
17.38	316.6666667	22350.70252
17.37	290	22350.89779
17.36	313.3333333	22351.09306
17.35	233.3333333	22351.28832
17.34	333.3333333	22351.48358
17.33	353.3333333	22351.67884
17.32	416.6666667	22351.87409
17.31	306.6666667	22352.06934
17.3	343.3333333	22352.26459
17.29	320	22352.45983
17.28	383.3333333	22352.65507
17.27	420	22352.8503
17.26	373.3333333	22353.04553
17.25	326.6666667	22353.24076
17.24	376.6666667	22353.43598
17.23	423.3333333	22353.6312
17.22	433.3333333	22353.82642
17.21	380	22354.02163
17.2	330	22354.21684
17.19	400	22354.41204
17.18	396.6666667	22354.60724
17.17	380	22354.80244
17.16	440	22354.99763
17.15	410	22355.19283
17.14	490	22355.38801
17.13	466.6666667	22355.5832
17.12	423.3333333	22355.77838
17.11	436.6666667	22355.97355
17.1	473.3333333	22356.16872
17.09	463.3333333	22356.36389
17.08	423.3333333	22356.55906
17.07	443.3333333	22356.75422
17.06	480	22356.94938
17.05	540	22357.14453
17.04	530	22357.33968
17.03	556.6666667	22357.53483
17.02	446.6666667	22357.72997
17.01	483.3333333	22357.92511
17	470	22358.12025
16.99	463.3333333	22358.31538
16.98	500	22358.51051
16.97	493.3333333	22358.70563
16.96	560	22358.90076
16.95	556.6666667	22359.09587
16.94	546.6666667	22359.29099
16.93	500	22359.4861
16.92	546.6666667	22359.68121
