	XPS_UPS_18Jan2022/BBL/Au/2/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
10	306152	22493.81511
9.98	307738	22494.20021
9.96	308965	22494.58529
9.94	310767	22494.97036
9.92	312728	22495.35541
9.9	314330	22495.74045
9.88	316762	22496.12548
9.86	317941	22496.51048
9.84	320000	22496.89548
9.82	321517	22497.28046
9.8	322580	22497.66542
9.78	323685	22498.05037
9.76	325497	22498.4353
9.74	327118	22498.82022
9.72	327896	22499.20512
9.7	328446	22499.59001
9.68	330574	22499.97488
9.66	330676	22500.35974
9.64	331092	22500.74459
9.62	331116	22501.12941
9.6	332576	22501.51423
9.58	333122	22501.89903
9.56	332735	22502.28381
9.54	333285	22502.66858
9.52	333652	22503.05333
9.5	333397	22503.43807
9.48	333341	22503.82279
9.46	334639	22504.2075
9.44	333175	22504.5922
9.42	332590	22504.97687
9.4	332499	22505.36154
9.38	332380	22505.74619
9.36	331990	22506.13082
9.34	332510	22506.51544
9.32	331235	22506.90004
9.3	329722	22507.28463
9.28	329805	22507.6692
9.26	330526	22508.05376
9.24	329072	22508.43831
9.22	328060	22508.82283
9.2	328518	22509.20735
9.18	328936	22509.59185
9.16	327915	22509.97633
9.14	327268	22510.3608
9.12	327306	22510.74525
9.1	327167	22511.12969
9.08	325272	22511.51411
9.06	325238	22511.89852
9.04	325495	22512.28291
9.02	325302	22512.66729
9	324665	22513.05166
8.98	324934	22513.436
8.96	323191	22513.82034
8.94	322323	22514.20465
8.92	322437	22514.58896
8.9	321599	22514.97325
8.88	321418	22515.35752
8.86	321236	22515.74178
8.84	320911	22516.12602
8.82	319617	22516.51025
8.8	318689	22516.89446
8.78	319025	22517.27866
8.76	318400	22517.66284
8.74	318718	22518.04701
8.72	316718	22518.43116
8.7	315980	22518.8153
8.68	316452	22519.19942
8.66	315770	22519.58353
8.64	315178	22519.96762
8.62	314375	22520.3517
8.6	312904	22520.73576
8.58	312628	22521.11981
8.56	312176	22521.50384
8.54	311771	22521.88786
8.52	310902	22522.27186
8.5	310725	22522.65585
8.48	309841	22523.03982
8.46	309609	22523.42378
8.44	308915	22523.80772
8.42	309129	22524.19165
8.4	307235	22524.57556
8.38	306729	22524.95945
8.36	306113	22525.34334
8.34	306077	22525.7272
8.32	303990	22526.11105
8.3	302504	22526.49489
8.28	301593	22526.87871
8.26	301627	22527.26252
8.24	300912	22527.64631
8.22	300350	22528.03009
8.2	298966	22528.41385
8.18	298928	22528.79759
8.16	297748	22529.18132
8.14	296409	22529.56504
8.12	295495	22529.94874
8.1	294040	22530.33243
8.08	293307	22530.7161
8.06	292350	22531.09975
8.04	291832	22531.48339
8.02	290617	22531.86702
8	289539	22532.25063
7.98	288121	22532.63423
7.96	286339	22533.01781
7.94	285567	22533.40137
7.92	284007	22533.78492
7.9	283442	22534.16846
7.88	281304	22534.55198
7.86	280288	22534.93548
7.84	279564	22535.31897
7.82	278298	22535.70244
7.8	276485	22536.0859
7.78	275199	22536.46935
7.76	273492	22536.85278
7.74	272180	22537.23619
7.72	270820	22537.61959
7.7	268512	22538.00297
7.68	266629	22538.38634
7.66	265327	22538.7697
7.64	264200	22539.15304
7.62	263125	22539.53636
7.6	261461	22539.91967
7.58	258815	22540.30296
7.56	257351	22540.68624
7.54	255025	22541.0695
7.52	253970	22541.45275
7.5	252032	22541.83598
7.48	250608	22542.2192
7.46	248850	22542.6024
7.44	247783	22542.98559
7.42	245502	22543.36876
7.4	243629	22543.75192
7.38	241875	22544.13506
7.36	240218	22544.51819
7.34	238482	22544.9013
7.32	237953	22545.2844
7.3	235546	22545.66748
7.28	234640	22546.05054
7.26	232653	22546.4336
7.24	231249	22546.81663
7.22	230137	22547.19965
7.2	228072	22547.58266
7.18	226543	22547.96565
7.16	224186	22548.34863
7.14	223093	22548.73159
7.12	221734	22549.11453
7.1	220874	22549.49746
7.08	219773	22549.88038
7.06	218090	22550.26328
7.04	216356	22550.64616
7.02	215277	22551.02903
