	XPS_UPS_18Jan2022/BBL/Au/2/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
19.22	620	22314.71119
19.21	626.6666667	22314.90712
19.2	550	22315.10305
19.19	556.6666667	22315.29898
19.18	533.3333333	22315.4949
19.17	543.3333333	22315.69083
19.16	626.6666667	22315.88674
19.15	670	22316.08266
19.14	593.3333333	22316.27857
19.13	560	22316.47447
19.12	596.6666667	22316.67038
19.11	606.6666667	22316.86628
19.1	623.3333333	22317.06217
19.09	606.6666667	22317.25806
19.08	606.6666667	22317.45395
19.07	546.6666667	22317.64984
19.06	606.6666667	22317.84572
19.05	500	22318.0416
19.04	540	22318.23747
19.03	576.6666667	22318.43334
19.02	656.6666667	22318.62921
19.01	616.6666667	22318.82507
19	616.6666667	22319.02093
18.99	573.3333333	22319.21679
18.98	580	22319.41264
18.97	513.3333333	22319.60849
18.96	510	22319.80433
18.95	546.6666667	22320.00017
18.94	520	22320.19601
18.93	546.6666667	22320.39185
18.92	586.6666667	22320.58768
18.91	636.6666667	22320.78351
18.9	553.3333333	22320.97933
18.89	490	22321.17515
18.88	573.3333333	22321.37097
18.87	480	22321.56678
18.86	533.3333333	22321.76259
18.85	573.3333333	22321.95839
18.84	600	22322.15419
18.83	646.6666667	22322.34999
18.82	563.3333333	22322.54579
18.81	566.6666667	22322.74158
18.8	650	22322.93737
18.79	636.6666667	22323.13315
18.78	490	22323.32893
18.77	590	22323.52471
18.76	646.6666667	22323.72048
18.75	530	22323.91625
18.74	540	22324.11202
18.73	540	22324.30778
18.72	576.6666667	22324.50354
18.71	563.3333333	22324.69929
18.7	523.3333333	22324.89504
18.69	573.3333333	22325.09079
18.68	590	22325.28654
18.67	583.3333333	22325.48228
18.66	593.3333333	22325.67801
18.65	513.3333333	22325.87375
18.64	553.3333333	22326.06948
18.63	560	22326.2652
18.62	556.6666667	22326.46093
18.61	470	22326.65665
18.6	483.3333333	22326.85236
18.59	556.6666667	22327.04807
