	XPS_UPS_18Jan2022/P3HT/BBL/grounded_Au_sub/1/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
10	344204	22493.81511
9.98	345061	22494.20021
9.96	344998	22494.58529
9.94	345579	22494.97036
9.92	346047	22495.35541
9.9	346701	22495.74045
9.88	346222	22496.12548
9.86	346158	22496.51048
9.84	346159	22496.89548
9.82	345998	22497.28046
9.8	347418	22497.66542
9.78	347556	22498.05037
9.76	347814	22498.4353
9.74	346424	22498.82022
9.72	347638	22499.20512
9.7	348303	22499.59001
9.68	348596	22499.97488
9.66	347572	22500.35974
9.64	347738	22500.74459
9.62	347649	22501.12941
9.6	347550	22501.51423
9.58	348926	22501.89903
9.56	348771	22502.28381
9.54	348982	22502.66858
9.52	349836	22503.05333
9.5	348820	22503.43807
9.48	349121	22503.82279
9.46	350069	22504.2075
9.44	348404	22504.5922
9.42	348286	22504.97687
9.4	348704	22505.36154
9.38	348665	22505.74619
9.36	349298	22506.13082
9.34	349033	22506.51544
9.32	348948	22506.90004
9.3	348946	22507.28463
9.28	348437	22507.6692
9.26	348716	22508.05376
9.24	349229	22508.43831
9.22	348722	22508.82283
9.2	348146	22509.20735
9.18	347631	22509.59185
9.16	347637	22509.97633
9.14	347124	22510.3608
9.12	348403	22510.74525
9.1	347974	22511.12969
9.08	347458	22511.51411
9.06	347795	22511.89852
9.04	347718	22512.28291
9.02	346838	22512.66729
9	346204	22513.05166
8.98	347031	22513.436
8.96	348572	22513.82034
8.94	347589	22514.20465
8.92	347590	22514.58896
8.9	348047	22514.97325
8.88	347831	22515.35752
8.86	347272	22515.74178
8.84	347516	22516.12602
8.82	347698	22516.51025
8.8	348435	22516.89446
8.78	348660	22517.27866
8.76	349312	22517.66284
8.74	348547	22518.04701
8.72	348518	22518.43116
8.7	349275	22518.8153
8.68	348418	22519.19942
8.66	349246	22519.58353
8.64	350168	22519.96762
8.62	351087	22520.3517
8.6	351538	22520.73576
8.58	351591	22521.11981
8.56	351809	22521.50384
8.54	352191	22521.88786
8.52	352010	22522.27186
8.5	352207	22522.65585
8.48	353206	22523.03982
8.46	353669	22523.42378
8.44	354400	22523.80772
8.42	353540	22524.19165
8.4	355533	22524.57556
8.38	356008	22524.95945
8.36	355986	22525.34334
8.34	356222	22525.7272
8.32	357100	22526.11105
8.3	356453	22526.49489
8.28	357631	22526.87871
8.26	357616	22527.26252
8.24	357239	22527.64631
8.22	358359	22528.03009
8.2	358616	22528.41385
8.18	358121	22528.79759
8.16	358638	22529.18132
8.14	359373	22529.56504
8.12	360136	22529.94874
8.1	360291	22530.33243
8.08	360048	22530.7161
8.06	360558	22531.09975
8.04	361361	22531.48339
8.02	361683	22531.86702
8	361552	22532.25063
7.98	361443	22532.63423
7.96	362166	22533.01781
7.94	362563	22533.40137
7.92	363864	22533.78492
7.9	363066	22534.16846
7.88	362485	22534.55198
7.86	363077	22534.93548
7.84	363853	22535.31897
7.82	364409	22535.70244
7.8	364731	22536.0859
7.78	364432	22536.46935
7.76	364934	22536.85278
7.74	365896	22537.23619
7.72	364727	22537.61959
7.7	366011	22538.00297
7.68	366052	22538.38634
7.66	366371	22538.7697
7.64	366171	22539.15304
7.62	366218	22539.53636
7.6	367004	22539.91967
7.58	367279	22540.30296
7.56	366062	22540.68624
7.54	366610	22541.0695
7.52	365859	22541.45275
7.5	368097	22541.83598
7.48	367210	22542.2192
7.46	366370	22542.6024
7.44	366870	22542.98559
7.42	367114	22543.36876
7.4	366867	22543.75192
7.38	366338	22544.13506
7.36	366764	22544.51819
7.34	366269	22544.9013
7.32	366997	22545.2844
7.3	366338	22545.66748
7.28	366385	22546.05054
7.26	366203	22546.4336
7.24	365307	22546.81663
7.22	365545	22547.19965
7.2	364987	22547.58266
7.18	363973	22547.96565
7.16	364558	22548.34863
7.14	363672	22548.73159
7.12	363714	22549.11453
7.1	362975	22549.49746
7.08	362067	22549.88038
7.06	362040	22550.26328
7.04	362246	22550.64616
7.02	362269	22551.02903
7	361735	22551.41189
6.98	360182	22551.79472
6.96	359803	22552.17755
6.94	359409	22552.56036
6.92	359720	22552.94315
6.9	357947	22553.32593
6.88	356947	22553.70869
6.86	357169	22554.09144
6.84	355999	22554.47418
6.82	354679	22554.85689
6.8	354481	22555.2396
6.78	354218	22555.62228
6.76	353009	22556.00496
6.74	352708	22556.38761
6.72	351066	22556.77026
6.7	350169	22557.15288
6.68	347535	22557.5355
6.66	347529	22557.91809
6.64	346742	22558.30067
6.62	345160	22558.68324
6.6	344023	22559.06579
6.58	343059	22559.44833
6.56	340846	22559.83085
6.54	339153	22560.21335
6.52	337895	22560.59585
6.5	336404	22560.97832
6.48	334096	22561.36078
6.46	332765	22561.74323
6.44	331137	22562.12566
6.42	329451	22562.50807
6.4	326548	22562.89047
6.38	325566	22563.27285
6.36	323437	22563.65522
6.34	321373	22564.03758
6.32	319059	22564.41992
6.3	316855	22564.80224
6.28	314839	22565.18455
6.26	312436	22565.56684
6.24	310573	22565.94912
6.22	308558	22566.33138
6.2	304807	22566.71363
6.18	302727	22567.09586
6.16	300475	22567.47808
6.14	298168	22567.86028
6.12	295330	22568.24247
6.1	293052	22568.62464
6.08	290039	22569.0068
6.06	287747	22569.38894
6.04	284773	22569.77106
6.02	281151	22570.15317
6	278329	22570.53527
5.98	275926	22570.91735
5.96	273234	22571.29942
5.94	270332	22571.68147
5.92	267138	22572.0635
5.9	263555	22572.44552
5.88	260713	22572.82752
5.86	257000	22573.20951
5.84	253862	22573.59149
5.82	251242	22573.97345
5.8	248089	22574.35539
5.78	244876	22574.73732
5.76	241798	22575.11923
5.74	237767	22575.50113
5.72	233851	22575.88301
5.7	229747	22576.26488
5.68	226245	22576.64673
5.66	223039	22577.02857
5.64	218784	22577.41039
5.62	213895	22577.79219
5.6	209960	22578.17399
5.58	206397	22578.55576
5.56	202086	22578.93752
5.54	197459	22579.31927
5.52	193095	22579.701
5.5	188418	22580.08271
5.48	183911	22580.46441
5.46	178550	22580.8461
5.44	174486	22581.22777
5.42	169510	22581.60942
5.4	163393	22581.99106
5.38	158218	22582.37268
5.36	153223	22582.75429
5.34	147494	22583.13588
5.32	141519	22583.51746
5.3	136251	22583.89903
5.28	130696	22584.28057
5.26	125064	22584.6621
5.24	119065	22585.04362
5.22	113331	22585.42512
5.2	107620	22585.80661
5.18	101818	22586.18808
5.16	96258	22586.56954
5.14	90372	22586.95098
5.12	84935	22587.3324
5.1	79029	22587.71381
5.08	73824	22588.09521
5.06	69127	22588.47659
5.04	63983	22588.85795
5.02	59560	22589.2393
5	55115	22589.62063
4.98	50685	22590.00195
4.96	46997	22590.38325
4.94	43720	22590.76454
4.92	40418	22591.14581
4.9	37219	22591.52707
4.88	34842	22591.90831
4.86	32802	22592.28954
4.84	30969	22592.67075
4.82	28896	22593.05195
4.8	27330	22593.43313
4.78	26229	22593.8143
4.76	25052	22594.19545
4.74	23912	22594.57658
4.72	23183	22594.9577
4.7	22651	22595.33881
4.68	22096	22595.71989
4.66	21875	22596.10097
4.64	21277	22596.48203
4.62	20966	22596.86307
4.6	20628	22597.2441
4.58	20439	22597.62511
4.56	20196	22598.00611
4.54	20307	22598.38709
4.52	20106	22598.76806
4.5	20195	22599.14901
4.48	19973	22599.52995
4.46	19994	22599.91087
4.44	19982	22600.29177
4.42	19900	22600.67266
4.4	19969	22601.05354
4.38	20350	22601.4344
4.36	20371	22601.81524
4.34	20379	22602.19607
4.32	20895	22602.57689
4.3	21029	22602.95768
4.28	21188	22603.33847
4.26	21359	22603.71924
4.24	21768	22604.09999
4.22	22115	22604.48073
4.2	22437	22604.86145
4.18	22808	22605.24215
4.16	23634	22605.62285
4.14	24152	22606.00352
4.12	24778	22606.38418
4.1	25218	22606.76483
4.08	26198	22607.14546
4.06	26806	22607.52607
4.04	27245	22607.90667
4.02	28253	22608.28726
4	29113	22608.66782
3.98	29892	22609.04838
3.96	30841	22609.42892
3.94	31737	22609.80944
3.92	32820	22610.18995
3.9	33848	22610.57044
3.88	34902	22610.95092
3.86	35638	22611.33138
3.84	36407	22611.71182
3.82	37544	22612.09225
3.8	38037	22612.47267
3.78	38834	22612.85307
3.76	39712	22613.23345
3.74	40106	22613.61382
3.72	40426	22613.99418
3.7	41068	22614.37452
3.68	41425	22614.75484
3.66	41660	22615.13515
3.64	41719	22615.51544
3.62	41496	22615.89572
3.6	41450	22616.27598
3.58	41442	22616.65623
3.56	41321	22617.03646
3.54	41018	22617.41667
3.52	40664	22617.79687
3.5	40323	22618.17706
3.48	39582	22618.55723
3.46	39106	22618.93738
3.44	38685	22619.31752
3.42	38003	22619.69765
3.4	37402	22620.07776
3.38	36533	22620.45785
3.36	36066	22620.83793
3.34	35052	22621.21799
3.32	34144	22621.59804
3.3	33240	22621.97807
3.28	32357	22622.35808
