	XPS_UPS_18Jan2022/P3HT/BBL/grounded_Au_sub/1/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
19.22	983.3333333	22314.71119
19.21	910	22314.90712
19.2	890	22315.10305
19.19	953.3333333	22315.29898
19.18	950	22315.4949
19.17	1040	22315.69083
19.16	1013.333333	22315.88674
19.15	1026.666667	22316.08266
19.14	1013.333333	22316.27857
19.13	990	22316.47447
19.12	1046.666667	22316.67038
19.11	966.6666667	22316.86628
19.1	930	22317.06217
19.09	946.6666667	22317.25806
19.08	900	22317.45395
19.07	923.3333333	22317.64984
19.06	1000	22317.84572
19.05	1023.333333	22318.0416
19.04	1040	22318.23747
19.03	1063.333333	22318.43334
19.02	1113.333333	22318.62921
19.01	1093.333333	22318.82507
19	1070	22319.02093
18.99	1070	22319.21679
18.98	1090	22319.41264
18.97	1103.333333	22319.60849
18.96	1073.333333	22319.80433
18.95	1086.666667	22320.00017
18.94	1096.666667	22320.19601
18.93	1166.666667	22320.39185
18.92	1156.666667	22320.58768
18.91	1186.666667	22320.78351
18.9	1126.666667	22320.97933
18.89	1270	22321.17515
18.88	1126.666667	22321.37097
18.87	1100	22321.56678
18.86	1306.666667	22321.76259
18.85	1166.666667	22321.95839
18.84	1213.333333	22322.15419
18.83	1283.333333	22322.34999
18.82	1310	22322.54579
18.81	1253.333333	22322.74158
18.8	1270	22322.93737
18.79	1330	22323.13315
18.78	1353.333333	22323.32893
18.77	1300	22323.52471
18.76	1400	22323.72048
18.75	1510	22323.91625
18.74	1500	22324.11202
18.73	1500	22324.30778
18.72	1353.333333	22324.50354
18.71	1506.666667	22324.69929
18.7	1453.333333	22324.89504
18.69	1620	22325.09079
18.68	1610	22325.28654
18.67	1563.333333	22325.48228
18.66	1656.666667	22325.67801
18.65	1810	22325.87375
18.64	1800	22326.06948
18.63	1703.333333	22326.2652
18.62	1670	22326.46093
18.61	1793.333333	22326.65665
18.6	1720	22326.85236
18.59	1886.666667	22327.04807
18.58	1770	22327.24378
18.57	1836.666667	22327.43949
18.56	1893.333333	22327.63519
18.55	1833.333333	22327.83088
18.54	1916.666667	22328.02658
18.53	1790	22328.22227
18.52	2093.333333	22328.41796
18.51	2136.666667	22328.61364
18.5	2056.666667	22328.80932
18.49	2173.333333	22329.00499
18.48	2156.666667	22329.20067
18.47	2296.666667	22329.39633
18.46	2303.333333	22329.592
18.45	2240	22329.78766
18.44	2363.333333	22329.98332
18.43	2390	22330.17897
18.42	2203.333333	22330.37462
18.41	2486.666667	22330.57027
18.4	2620	22330.76591
18.39	2563.333333	22330.96155
18.38	2436.666667	22331.15719
18.37	2603.333333	22331.35282
18.36	2620	22331.54845
18.35	2676.666667	22331.74407
18.34	2806.666667	22331.9397
18.33	2980	22332.13531
18.32	2880	22332.33093
18.31	2876.666667	22332.52654
18.3	2903.333333	22332.72215
18.29	2950	22332.91775
18.28	3086.666667	22333.11335
18.27	3163.333333	22333.30895
18.26	3293.333333	22333.50454
18.25	3396.666667	22333.70013
18.24	3340	22333.89571
18.23	3483.333333	22334.0913
18.22	3623.333333	22334.28687
18.21	3726.666667	22334.48245
18.2	3690	22334.67802
18.19	3553.333333	22334.87359
18.18	3816.666667	22335.06915
18.17	3750	22335.26471
18.16	3856.666667	22335.46027
18.15	4010	22335.65582
18.14	4126.666667	22335.85137
18.13	4303.333333	22336.04691
18.12	4293.333333	22336.24246
18.11	4583.333333	22336.438
18.1	4116.666667	22336.63353
18.09	4320	22336.82906
18.08	4520	22337.02459
18.07	4560	22337.22011
18.06	4583.333333	22337.41563
