	XPS_UPS_18Jan2022/P3HT/Au/1/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
10	355854	22493.81511
9.98	355661	22494.20021
9.96	356255	22494.58529
9.94	356973	22494.97036
9.92	357290	22495.35541
9.9	358185	22495.74045
9.88	358268	22496.12548
9.86	358056	22496.51048
9.84	359361	22496.89548
9.82	359456	22497.28046
9.8	359350	22497.66542
9.78	359685	22498.05037
9.76	359155	22498.4353
9.74	359539	22498.82022
9.72	359306	22499.20512
9.7	359523	22499.59001
9.68	359743	22499.97488
9.66	359915	22500.35974
9.64	359361	22500.74459
9.62	359063	22501.12941
9.6	358985	22501.51423
9.58	358076	22501.89903
9.56	358662	22502.28381
9.54	357591	22502.66858
9.52	357263	22503.05333
9.5	357993	22503.43807
9.48	357713	22503.82279
9.46	356980	22504.2075
9.44	357104	22504.5922
9.42	356383	22504.97687
9.4	357054	22505.36154
9.38	356997	22505.74619
9.36	356158	22506.13082
9.34	356541	22506.51544
9.32	356691	22506.90004
9.3	356997	22507.28463
9.28	357355	22507.6692
9.26	357032	22508.05376
9.24	357534	22508.43831
9.22	357925	22508.82283
9.2	358432	22509.20735
9.18	359184	22509.59185
9.16	358849	22509.97633
9.14	358322	22510.3608
9.12	359429	22510.74525
9.1	360013	22511.12969
9.08	360917	22511.51411
9.06	360507	22511.89852
9.04	360493	22512.28291
9.02	361636	22512.66729
9	361884	22513.05166
8.98	361133	22513.436
8.96	360628	22513.82034
8.94	361455	22514.20465
8.92	362543	22514.58896
8.9	362523	22514.97325
8.88	362595	22515.35752
8.86	363457	22515.74178
8.84	362693	22516.12602
8.82	361685	22516.51025
8.8	362594	22516.89446
8.78	362670	22517.27866
8.76	361174	22517.66284
8.74	362393	22518.04701
8.72	362045	22518.43116
8.7	361925	22518.8153
8.68	362112	22519.19942
8.66	362092	22519.58353
8.64	362874	22519.96762
8.62	362309	22520.3517
8.6	363291	22520.73576
8.58	363778	22521.11981
8.56	363873	22521.50384
8.54	363293	22521.88786
8.52	364239	22522.27186
8.5	363393	22522.65585
8.48	364107	22523.03982
8.46	363786	22523.42378
8.44	364185	22523.80772
8.42	366084	22524.19165
8.4	365156	22524.57556
8.38	365109	22524.95945
8.36	366248	22525.34334
8.34	366289	22525.7272
8.32	366424	22526.11105
8.3	366284	22526.49489
8.28	366307	22526.87871
8.26	368454	22527.26252
8.24	368203	22527.64631
8.22	368820	22528.03009
8.2	368870	22528.41385
8.18	368325	22528.79759
8.16	369042	22529.18132
8.14	369316	22529.56504
8.12	369838	22529.94874
8.1	369894	22530.33243
8.08	370625	22530.7161
8.06	371550	22531.09975
8.04	371658	22531.48339
8.02	371840	22531.86702
8	371640	22532.25063
7.98	373367	22532.63423
7.96	373397	22533.01781
7.94	373653	22533.40137
7.92	374260	22533.78492
7.9	375465	22534.16846
7.88	374867	22534.55198
7.86	375772	22534.93548
7.84	375614	22535.31897
7.82	376339	22535.70244
7.8	376001	22536.0859
7.78	377017	22536.46935
7.76	376954	22536.85278
7.74	377513	22537.23619
7.72	378535	22537.61959
7.7	379749	22538.00297
7.68	379905	22538.38634
7.66	379741	22538.7697
7.64	378779	22539.15304
7.62	380161	22539.53636
7.6	380700	22539.91967
7.58	381121	22540.30296
7.56	381979	22540.68624
7.54	382092	22541.0695
7.52	382627	22541.45275
7.5	381586	22541.83598
7.48	381922	22542.2192
7.46	382921	22542.6024
7.44	382459	22542.98559
7.42	382563	22543.36876
7.4	382681	22543.75192
7.38	382337	22544.13506
7.36	382491	22544.51819
7.34	382519	22544.9013
7.32	382928	22545.2844
7.3	382821	22545.66748
7.28	383560	22546.05054
7.26	382502	22546.4336
7.24	382479	22546.81663
7.22	383390	22547.19965
7.2	382715	22547.58266
7.18	383001	22547.96565
7.16	383103	22548.34863
7.14	381766	22548.73159
7.12	382474	22549.11453
7.1	381513	22549.49746
7.08	382338	22549.88038
7.06	381328	22550.26328
7.04	381370	22550.64616
7.02	382008	22551.02903
7	380928	22551.41189
6.98	381297	22551.79472
6.96	380299	22552.17755
6.94	380259	22552.56036
6.92	379333	22552.94315
6.9	378992	22553.32593
6.88	379069	22553.70869
6.86	378906	22554.09144
6.84	378654	22554.47418
6.82	378338	22554.85689
6.8	376412	22555.2396
6.78	376578	22555.62228
6.76	376107	22556.00496
6.74	375243	22556.38761
6.72	374395	22556.77026
6.7	373891	22557.15288
6.68	374082	22557.5355
6.66	373318	22557.91809
6.64	373057	22558.30067
6.62	371648	22558.68324
6.6	371296	22559.06579
6.58	369983	22559.44833
6.56	368565	22559.83085
6.54	367063	22560.21335
6.52	367181	22560.59585
6.5	366020	22560.97832
6.48	365076	22561.36078
6.46	364740	22561.74323
6.44	363066	22562.12566
6.42	360891	22562.50807
6.4	359729	22562.89047
6.38	357535	22563.27285
6.36	357039	22563.65522
6.34	356120	22564.03758
6.32	354184	22564.41992
6.3	352277	22564.80224
6.28	350266	22565.18455
6.26	348875	22565.56684
6.24	347508	22565.94912
6.22	344624	22566.33138
6.2	342553	22566.71363
6.18	341028	22567.09586
6.16	338177	22567.47808
6.14	336635	22567.86028
6.12	334961	22568.24247
6.1	331949	22568.62464
6.08	329730	22569.0068
6.06	327137	22569.38894
6.04	324982	22569.77106
6.02	322341	22570.15317
6	320455	22570.53527
5.98	317111	22570.91735
5.96	315289	22571.29942
5.94	312866	22571.68147
5.92	309609	22572.0635
5.9	306513	22572.44552
5.88	303424	22572.82752
5.86	300909	22573.20951
5.84	297905	22573.59149
5.82	295744	22573.97345
5.8	292371	22574.35539
5.78	289618	22574.73732
5.76	286763	22575.11923
5.74	284359	22575.50113
5.72	280631	22575.88301
5.7	277405	22576.26488
5.68	274237	22576.64673
5.66	270374	22577.02857
5.64	267201	22577.41039
5.62	263971	22577.79219
5.6	260209	22578.17399
5.58	257068	22578.55576
5.56	252449	22578.93752
5.54	248796	22579.31927
5.52	245485	22579.701
5.5	240882	22580.08271
5.48	237472	22580.46441
5.46	234553	22580.8461
5.44	230484	22581.22777
5.42	225909	22581.60942
5.4	221613	22581.99106
5.38	216504	22582.37268
5.36	212450	22582.75429
5.34	208535	22583.13588
5.32	202570	22583.51746
5.3	198034	22583.89903
5.28	193055	22584.28057
5.26	187999	22584.6621
5.24	182528	22585.04362
5.22	176977	22585.42512
5.2	172015	22585.80661
