	XPS_UPS_18Jan2022/P3HT/Au/1/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
19.22	926.6666667	22314.71119
19.21	926.6666667	22314.90712
19.2	900	22315.10305
19.19	946.6666667	22315.29898
19.18	1006.666667	22315.4949
19.17	940	22315.69083
19.16	980	22315.88674
19.15	873.3333333	22316.08266
19.14	926.6666667	22316.27857
19.13	940	22316.47447
19.12	926.6666667	22316.67038
19.11	1046.666667	22316.86628
19.1	953.3333333	22317.06217
19.09	870	22317.25806
19.08	860	22317.45395
19.07	980	22317.64984
19.06	960	22317.84572
19.05	953.3333333	22318.0416
19.04	983.3333333	22318.23747
19.03	1013.333333	22318.43334
19.02	903.3333333	22318.62921
19.01	1010	22318.82507
19	996.6666667	22319.02093
18.99	973.3333333	22319.21679
18.98	906.6666667	22319.41264
18.97	963.3333333	22319.60849
18.96	946.6666667	22319.80433
18.95	980	22320.00017
18.94	1006.666667	22320.19601
18.93	960	22320.39185
18.92	956.6666667	22320.58768
18.91	1040	22320.78351
18.9	1043.333333	22320.97933
18.89	926.6666667	22321.17515
18.88	1060	22321.37097
18.87	970	22321.56678
18.86	1060	22321.76259
18.85	1086.666667	22321.95839
18.84	1083.333333	22322.15419
18.83	1096.666667	22322.34999
18.82	953.3333333	22322.54579
18.81	1026.666667	22322.74158
18.8	1016.666667	22322.93737
18.79	1180	22323.13315
18.78	1070	22323.32893
18.77	1196.666667	22323.52471
18.76	1060	22323.72048
18.75	1040	22323.91625
18.74	1186.666667	22324.11202
18.73	1043.333333	22324.30778
18.72	1160	22324.50354
18.71	1200	22324.69929
18.7	1173.333333	22324.89504
18.69	1226.666667	22325.09079
18.68	1376.666667	22325.28654
18.67	1253.333333	22325.48228
18.66	1420	22325.67801
18.65	1380	22325.87375
18.64	1313.333333	22326.06948
18.63	1313.333333	22326.2652
18.62	1306.666667	22326.46093
18.61	1493.333333	22326.65665
18.6	1366.666667	22326.85236
18.59	1350	22327.04807
18.58	1396.666667	22327.24378
18.57	1476.666667	22327.43949
18.56	1456.666667	22327.63519
18.55	1460	22327.83088
18.54	1593.333333	22328.02658
18.53	1523.333333	22328.22227
18.52	1553.333333	22328.41796
18.51	1636.666667	22328.61364
18.5	1616.666667	22328.80932
18.49	1570	22329.00499
18.48	1700	22329.20067
18.47	1803.333333	22329.39633
18.46	1740	22329.592
18.45	1586.666667	22329.78766
18.44	1773.333333	22329.98332
18.43	1896.666667	22330.17897
18.42	1876.666667	22330.37462
18.41	1893.333333	22330.57027
18.4	1963.333333	22330.76591
18.39	1883.333333	22330.96155
18.38	1943.333333	22331.15719
18.37	2153.333333	22331.35282
18.36	2073.333333	22331.54845
18.35	2096.666667	22331.74407
18.34	2143.333333	22331.9397
18.33	2023.333333	22332.13531
18.32	2116.666667	22332.33093
18.31	2323.333333	22332.52654
18.3	2343.333333	22332.72215
18.29	2293.333333	22332.91775
18.28	2363.333333	22333.11335
18.27	2396.666667	22333.30895
18.26	2383.333333	22333.50454
18.25	2540	22333.70013
18.24	2473.333333	22333.89571
18.23	2410	22334.0913
18.22	2553.333333	22334.28687
18.21	2670	22334.48245
18.2	2543.333333	22334.67802
18.19	2683.333333	22334.87359
18.18	2813.333333	22335.06915
18.17	2776.666667	22335.26471
18.16	2823.333333	22335.46027
18.15	2770	22335.65582
18.14	2880	22335.85137
18.13	2976.666667	22336.04691
18.12	3230	22336.24246
18.11	3173.333333	22336.438
18.1	3143.333333	22336.63353
18.09	3186.666667	22336.82906
18.08	3396.666667	22337.02459
18.07	3310	22337.22011
18.06	3416.666667	22337.41563
18.05	3590	22337.61115
18.04	3546.666667	22337.80666
18.03	3563.333333	22338.00217
18.02	3610	22338.19768
18.01	3676.666667	22338.39318
18	3906.666667	22338.58868
17.99	3910	22338.78417
17.98	3843.333333	22338.97967
17.97	3973.333333	22339.17515
17.96	3950	22339.37064
17.95	3933.333333	22339.56612
17.94	4223.333333	22339.7616
17.93	4270	22339.95707
17.92	4320	22340.15254
17.91	4150	22340.348
17.9	4306.666667	22340.54347
17.89	4426.666667	22340.73893
17.88	4793.333333	22340.93438
17.87	4656.666667	22341.12983
17.86	4643.333333	22341.32528
17.85	4770	22341.52073
17.84	4690	22341.71617
17.83	4816.666667	22341.9116
17.82	4850	22342.10704
17.81	4850	22342.30247
